Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies,treatment,women_LFP,post,post_treatment
0,2,26,11,0,0,1,0,1,0,0,0
0,2,26,12,0,0,1,0,1,0,0,0
1,1,26,14,0,0,1,1,1,0,0,0
0,1,26,11,0,0,1,1,1,0,0,0
0,2,26,8,0,0,1,0,1,0,0,0
3,1,26,16,7,9,1,1,1,0,0,0
1,2,48,5,0,0,1,0,1,0,0,0
2,5,48,3,0,0,1,0,1,0,0,0
0,2,48,1,0,0,1,0,1,0,0,0
0,2,48,5,0,0,1,0,1,0,0,0
0,2,48,2,0,0,1,0,1,0,0,0
0,2,26,1,0,0,1,0,1,0,0,0
0,2,49,4,0,0,1,0,1,0,0,0
0,2,26,4,0,0,1,0,1,0,0,0
0,2,48,2,0,0,1,0,1,0,0,0
1,2,48,9,0,0,1,0,1,0,0,0
1,1,48,8,0,0,1,1,1,0,0,0
1,2,26,14,0,0,1,0,1,0,0,0
0,2,26,11,0,0,1,0,1,0,0,0
0,2,48,8,0,0,1,0,1,0,0,0
0,2,25,12,0,0,1,0,1,0,0,0
3,1,26,12,0,0,1,1,1,0,0,0
0,2,24,11,0,0,1,0,0,0,0,0
0,2,24,8,0,0,1,0,0,0,0,0
1,1,48,16,7,8,1,1,1,0,0,0
1,1,48,14,0,0,1,1,1,0,0,0
0,2,48,15,0,0,1,0,1,0,0,0
2,1,49,8,0,0,1,1,1,0,0,0
0,4,26,12,0,0,1,0,1,0,0,0
0,1,26,5,0,0,1,1,1,0,0,0
0,1,26,2,0,0,1,1,1,0,0,0
1,4,26,13,0,0,1,0,1,0,0,0
1,1,26,5,0,0,1,1,1,0,0,0
0,2,26,6,0,0,1,0,1,0,0,0
0,2,26,6,0,0,1,0,1,0,0,0
2,5,40,16,7,9,1,0,1,0,0,0
1,2,40,17,7,9,1,0,1,0,0,0
2,1,40,15,0,0,1,1,1,0,0,0
5,2,40,11,0,0,1,0,1,0,0,0
0,2,40,1,0,0,1,0,1,0,0,0
4,1,40,11,0,0,1,1,1,0,0,0
0,2,26,12,0,0,1,0,1,0,0,0
0,2,26,9,0,0,1,0,1,0,0,0
1,1,48,15,0,0,1,1,1,0,0,0
0,2,48,3,0,0,1,0,1,0,0,0
1,1,48,8,0,0,1,1,1,0,0,0
1,1,25,14,0,0,1,1,1,0,0,0
1,1,48,13,0,0,1,1,1,0,0,0
0,2,48,9,0,0,1,0,1,0,0,0
0,1,25,10,0,0,1,1,1,0,0,0
0,2,25,9,0,0,1,0,1,0,0,0
0,1,48,9,0,0,1,1,1,0,0,0
0,2,48,8,0,0,1,0,1,0,0,0
0,2,48,6,0,0,1,0,1,0,0,0
1,1,48,16,7,10,1,1,1,0,0,0
0,2,48,4,0,0,1,0,1,0,0,0
0,1,25,16,7,10,1,1,1,0,0,0
1,4,25,13,0,0,1,0,1,0,0,0
