TAS,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,TAS19,ER30000,ER30001,ER30002,ER31988,ER31989,ER32000,ER32022,ER32034,ER32036,ER32049,V17701,V17798,ER30642,ER30643,ER30644,ER30645,ER30653,ER30657,ER30659,V19001,V19098,ER30689,ER30690,ER30691,ER30692,ER30699,ER30703,V20301,V20398,ER30733,ER30734,ER30735,ER30736,ER30744,ER30748,ER30806,ER30807,ER30808,ER30809,ER30816,ER30820,ER33101,ER33102,ER33103,ER33104,ER33111,ER33115,ER33201,ER33202,ER33203,ER33204,ER33211,ER33215,ER33301,ER33302,ER33303,ER33304,ER33311,ER33315,ER33401,ER33402,ER33403,ER33404,ER33411,ER33415,ER33501,ER33502,ER33503,ER33504,ER33512,ER33516,ER33601,ER33602,ER33603,ER33604,ER33612,ER33616,ER33701,ER33702,ER33703,ER33704,ER33712,ER33716,ER33801,ER33802,ER33803,ER33804,ER33813,ER33817,ER33838F,TA050001,TA050189,TA050953,ER33901,ER33902,ER33903,ER33904,ER33913,ER33917,ER33938F,TA070001,TA070207,TA070934,ER34001,ER34002,ER34003,ER34004,ER34016,ER34020,ER34032D,TA090001,TA090222,TA090998,ER34101,ER34102,ER34103,ER34104,ER34116,ER34119,ER34144D,TA110001,TA110223,TA111140,ER34201,ER34202,ER34203,ER34204,ER34216,ER34230,ER34251D,TA130001,TA130222,TA131244,ER34301,ER34302,ER34303,ER34305,ER34317,ER34349,ER34401D,TA150001,TA150214,TA151304,ER34501,ER34502,ER34503,ER34504,ER34516,ER34548,ER34639,TA170001,TA170204,TA171991,ER34701,ER34702,ER34703,ER34704,ER34716,ER34752,ER34848,TA190001,TA190257,TA192198
1,,,1,,,,,,3,4,37,5,0,1,2,0,9999,2,3,4,4517,4,30,3,0,0,0,3,4,7252,4,30,4,0,0,4,4,5472,4,30,5,0,0,7439,3,30,6,0,0,11737,3,30,7,0,0,9652,3,30,8,0,0,5907,3,30,9,0,0,4773,3,30,10,0,0,3818,4,30,12,0,0,5964,4,30,14,0,0,5536,3,30,16,7,9,1288,3,30,18,1,12,15600,,,,0,0,0,0,0,0,0,,,,8582,3,30,23,1,11,19984,3,613,0,2845,51,30,24,8,10,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,
2,,,1,1,,,,,3,4,38,5,0,2,0,1,2017,1,3,4,1398,4,30,2,0,0,0,3,4,4378,4,30,3,0,0,4,4,6201,4,30,4,0,0,4784,4,30,5,0,0,11736,4,30,6,0,0,7182,4,30,7,0,0,8142,2,30,8,0,0,5491,2,30,9,0,0,6944,2,30,12,0,0,7091,2,30,14,0,0,0,0,0,0,0,0,6880,2,30,17,7,12,5000,,,,0,0,0,0,0,0,0,,,,8180,1,10,22,1,12,0,3,360,0,7655,1,10,24,3,12,0,2,422,0,8569,1,10,25,3,12,0,,,,0,0,0,0,0,0,0,,,,8691,2,20,30,1,12,0,,,,5671,2,20,31,1,13,0,,,
5,,,1,1,1,1,1,,3,4,39,5,0,2,3,1,2010,4,3,4,983,0,0,0,0,0,0,3,5,4379,5,60,1,0,0,4,5,2482,5,60,2,0,0,4729,5,60,3,0,0,11733,5,60,4,0,0,4231,4,60,4,0,0,2238,4,60,5,0,0,3854,4,60,6,0,0,2,3,60,8,0,0,96,3,60,10,0,0,1392,3,60,12,0,0,289,3,60,14,0,0,0,,,,148,3,60,16,1,10,1000,,,,13,3,60,18,6,12,0,3,423,0,1602,2,20,20,5,12,0,2,0,0,8698,2,20,23,6,12,0,2,0,0,7304,2,20,25,5,12,0,2,411,0,7682,1,10,27,1,12,0,2,5700,0,7781,1,10,29,6,12,0,,,
5,,,,1,1,1,1,1,3,4,41,5,0,2,0,1,2013,4,3,4,983,0,0,0,0,0,0,3,5,4379,0,0,0,0,0,4,5,2482,0,0,0,0,0,4729,6,60,1,0,0,11733,6,60,2,0,0,5382,2,30,2,0,0,2239,2,30,3,0,0,4246,2,30,4,0,0,1702,2,30,6,0,0,285,3,30,8,0,0,1427,3,30,10,0,0,1157,3,30,12,0,0,0,,,,196,3,30,14,0,0,0,,,,684,3,30,17,7,10,0,,,,2147,1,10,18,5,12,0,2,0,0,5963,2,20,21,6,12,0,2,472,0,1032,2,60,22,3,12,10000,2,814,0,6393,1,10,25,3,12,0,2,8320,0,6506,2,22,27,6,12,0,2,4340,0
1,,,,,,,,1,3,4,42,0,0,1,0,0,9999,2,3,4,983,0,0,0,0,0,0,3,5,4379,0,0,0,0,0,4,5,2482,0,0,0,0,0,4729,0,0,0,0,0,11733,0,0,0,0,0,5382,0,0,0,0,0,2239,0,0,0,0,0,4246,3,30,1,0,0,1702,3,30,2,0,0,285,4,30,4,0,0,1427,4,30,7,0,0,1157,4,30,9,0,0,0,,,,196,4,30,10,0,0,0,,,,684,4,30,13,0,0,0,,,,1513,3,30,15,0,0,0,,,,7300,3,30,17,3,11,0,,,,1428,2,30,18,8,11,8800,,,,6510,51,30,21,0,0,0,,,,6314,51,30,23,0,0,0,2,9830,0
4,1,1,1,1,,,,,3,4,180,5,0,2,4,3,2002,1,3,4,4517,3,30,5,0,0,0,3,4,7252,3,30,7,0,0,4,4,5472,3,30,8,0,0,7439,2,30,9,0,0,11737,2,30,10,0,0,9652,2,30,10,0,0,5907,2,30,11,0,0,4773,2,30,12,0,0,3818,3,30,14,0,0,5964,3,30,17,7,10,6443,2,20,19,6,9,771,2,22,20,1,9,0,5,411,0,1130,1,10,22,1,12,0,4,472,0,77,1,10,24,6,10,0,3,472,0,1839,2,20,26,6,12,0,2,775,0,2176,1,10,28,1,12,0,,,,3252,2,20,30,1,12,0,,,,4293,2,20,32,1,12,0,,,,4681,2,20,34,1,12,0,,,
4,1,1,1,1,,,,,3,5,32,5,0,2,2,1,2006,1,3,4,3233,4,30,5,0,0,0,3,4,599,4,30,6,0,0,4,4,4425,4,30,7,0,0,2,4,30,8,0,0,11740,4,30,9,0,0,4137,4,30,10,0,0,5155,4,30,11,0,0,368,4,30,12,0,0,379,4,30,14,0,0,1448,4,30,16,7,10,4965,4,30,18,1,12,624,3,30,20,1,14,10000,5,570,0,8069,2,20,23,6,16,0,4,411,0,3976,2,20,24,6,14,0,3,0,0,8389,2,20,27,6,14,0,2,0,0,5048,2,20,28,6,14,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,
3,,,,,,1,1,1,3,5,33,0,0,1,0,0,9999,2,3,3,1761,0,0,0,0,0,0,3,3,2126,0,0,0,0,0,4,4,8931,0,0,0,0,0,103,0,0,0,0,0,11743,0,0,0,0,0,3809,5,30,1,0,0,7547,5,30,1,0,0,3633,5,30,2,0,0,4588,5,30,4,0,0,444,3,60,6,0,0,6955,3,30,8,0,0,1504,3,30,10,0,0,0,,,,7756,3,30,12,0,0,0,,,,8470,3,30,14,0,0,0,,,,975,3,30,16,7,10,0,,,,6170,71,30,18,3,0,0,,,,7098,1,10,20,3,12,0,2,425,0,4162,1,10,22,1,12,0,2,8965,0,6282,1,10,24,3,12,0,2,8450,0
4,1,1,1,1,,,,,3,6,34,5,0,1,0,1,2017,1,3,5,632,5,30,5,0,0,0,3,5,5311,5,30,7,0,0,4,5,1688,5,30,8,0,0,6493,5,30,9,0,0,4673,5,30,10,0,0,8912,5,30,10,0,0,2161,5,30,11,0,0,6048,5,30,12,0,0,5379,5,30,14,0,0,6438,3,30,17,7,11,1838,51,30,18,7,12,1202,51,30,20,0,0,0,5,196,0,5967,1,10,23,1,17,0,4,531,0,858,1,10,24,7,17,0,3,0,0,7106,1,10,27,1,17,0,2,325,0,3221,1,10,28,1,17,0,,,,2679,1,10,30,1,17,0,,,,5702,1,10,33,1,17,0,,,,5801,1,10,34,1,17,0,,,
4,,1,1,1,1,,,,3,7,39,5,0,1,0,0,9999,2,3,6,1657,5,30,2,0,0,0,3,6,1347,5,30,3,0,0,4,7,1178,5,30,4,0,0,3091,5,30,5,0,0,7112,5,30,6,0,0,438,5,30,7,0,0,559,5,30,8,0,0,1111,5,30,9,0,0,2670,5,30,11,0,0,2945,3,30,13,0,0,5049,2,30,15,0,0,571,2,30,17,3,11,0,,,,1154,3,30,19,1,12,5500,4,422,0,6730,1,10,21,1,12,0,3,422,0,83,1,10,23,1,12,0,2,734,0,6276,1,10,25,1,12,0,2,734,0,5421,1,10,27,1,12,0,,,,5069,1,10,29,1,12,0,,,,4355,1,10,31,1,12,0,,,
6,,1,1,1,1,1,1,,3,7,40,5,0,2,2,1,2014,1,3,6,1657,6,30,1,0,0,0,3,6,1347,6,30,1,0,0,4,7,1178,6,30,2,0,0,3091,6,30,3,0,0,7112,6,30,4,0,0,438,6,30,5,0,0,559,6,30,6,0,0,1111,6,30,7,0,0,2670,6,30,9,0,0,2945,4,30,11,0,0,5049,3,30,14,0,0,571,3,30,15,0,0,0,,,,482,2,30,17,7,11,2000,4,402,0,3836,2,22,19,6,12,0,3,405,0,177,2,22,21,6,12,0,2,405,0,4127,2,22,23,6,12,0,2,0,0,3786,2,20,25,6,12,0,2,0,0,4690,2,20,27,6,12,0,2,0,0,3893,2,20,29,6,12,0,,,
3,,,1,1,,1,,,3,7,41,5,0,1,1,0,9999,2,3,5,1467,0,0,0,0,0,0,3,6,1681,6,60,1,0,0,4,7,1806,6,60,1,0,0,3093,5,60,3,0,0,7113,4,60,3,0,0,433,4,60,4,0,0,1341,4,60,5,0,0,1114,4,60,6,0,0,4983,3,30,8,0,0,3325,3,30,10,0,0,5294,3,30,13,0,0,562,2,30,14,0,0,0,,,,1411,2,30,16,7,9,0,,,,576,2,30,18,7,12,0,3,0,0,1100,3,30,20,3,12,0,2,425,0,2820,2,60,22,9,99,0,,,,2000,2,60,24,3,99,0,2,962,0,4360,2,60,26,9,99,0,,,,4231,1,10,29,1,12,0,,,
2,,,,,,,1,1,3,7,42,5,0,1,1,1,2014,1,3,6,1657,0,0,0,0,0,0,3,6,1347,0,0,0,0,0,4,7,1178,7,30,1,0,0,3091,7,30,1,0,0,7112,7,30,2,0,0,438,7,30,3,0,0,559,7,30,4,0,0,1111,7,30,5,0,0,2670,7,30,7,0,0,2945,5,30,9,0,0,5049,4,30,11,0,0,571,4,30,13,0,0,0,,,,482,3,30,15,0,0,0,,,,290,2,30,17,7,11,600,,,,183,2,30,19,3,13,4000,,,,6202,1,10,21,1,14,0,,,,6262,1,10,23,1,14,0,,,,4139,1,10,25,1,14,0,2,7210,0,4308,1,10,28,1,14,0,2,7210,0
1,,,,,,,,1,3,7,43,5,0,1,1,0,9999,2,3,5,1467,0,0,0,0,0,0,3,6,1681,0,0,0,0,0,4,7,1806,7,60,1,0,0,3093,6,60,1,0,0,7113,5,60,2,0,0,433,5,60,3,0,0,1341,5,60,4,0,0,1114,5,60,5,0,0,4983,4,30,7,0,0,3325,4,30,9,0,0,5294,4,30,11,0,0,562,3,30,13,0,0,0,,,,1411,3,30,15,0,0,0,,,,576,3,30,17,7,10,0,,,,1100,4,30,19,1,11,8516,,,,8581,1,10,21,3,10,0,,,,8170,1,10,24,1,10,0,,,,9038,1,10,26,1,10,0,,,,3992,1,10,27,1,10,0,2,9620,0
5,,,,1,1,1,1,1,3,7,44,5,0,1,0,0,9999,2,3,5,1467,0,0,0,0,0,0,3,6,1681,0,0,0,0,0,4,7,1806,0,0,0,0,0,3093,7,60,1,0,0,7113,6,60,1,0,0,433,6,60,2,0,0,1341,6,60,3,0,0,1114,6,60,4,0,0,4983,5,30,6,0,0,3325,5,30,8,0,0,5294,5,30,10,0,0,562,4,30,12,0,0,0,,,,1411,4,30,14,0,0,0,,,,576,4,30,16,7,9,0,,,,1100,5,30,18,6,11,0,2,425,0,8359,1,10,20,3,9,0,2,651,0,5709,1,10,22,3,9,0,2,425,0,4261,1,10,24,3,9,0,2,6515,0,4048,1,10,26,3,9,0,2,0,0
4,,,,,1,1,1,1,3,7,45,5,0,2,3,0,9999,2,3,5,2730,0,0,0,0,0,0,3,5,2967,0,0,0,0,0,4,5,1584,0,0,0,0,0,4603,7,60,1,0,0,7114,6,60,1,0,0,6237,5,60,2,0,0,995,5,60,3,0,0,1910,5,60,4,0,0,6278,5,60,6,0,0,6030,3,30,8,0,0,5115,3,30,10,0,0,82,3,30,12,0,0,0,,,,904,3,30,14,0,0,0,,,,272,3,30,16,7,10,0,,,,43,3,30,18,7,10,0,,,,3305,3,30,20,3,12,0,2,460,0,3856,1,10,22,1,12,0,2,423,0,3854,1,10,24,1,12,0,2,5310,0,4290,2,22,26,6,12,0,2,5620,0
4,,,,,1,1,1,1,3,7,46,0,0,2,2,1,2011,1,3,5,1467,0,0,0,0,0,0,3,6,1681,0,0,0,0,0,4,7,1806,0,0,0,0,0,7890,0,0,0,0,0,7115,3,30,1,0,0,428,3,30,1,0,0,994,3,30,2,0,0,5107,2,30,3,0,0,2216,2,30,5,0,0,3075,2,30,7,0,0,6425,3,33,9,0,0,104,3,33,11,0,0,0,,,,2208,2,30,13,0,0,0,,,,4986,2,30,15,0,0,0,,,,6885,2,30,17,7,10,0,,,,8696,2,20,20,1,12,0,2,472,0,7575,2,20,21,6,12,0,2,460,0,5879,2,20,23,6,12,0,2,0,0,4016,2,20,25,6,12,0,2,4600,0
