Child_BIRTHS,MARITAL_STATUS,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,working_women,current_state
3,4,47,18,6,12,9,False,False
0,4,47,17,7,10,9,False,False
2,1,39,19,6,12,9,False,False
3,2,39,16,7,10,9,False,False
2,1,17,15,0,0,9,False,False
2,1,37,18,3,12,9,False,False
2,2,12,19,7,13,9,False,False
0,1,18,18,7,11,9,False,False
0,1,38,18,1,11,9,True,False
0,2,8,19,7,13,9,False,False
0,2,6,16,7,10,9,False,False
0,2,45,17,1,8,9,True,False
2,2,45,16,3,9,9,False,False
2,2,45,16,0,0,9,False,False
0,2,37,18,1,12,9,True,False
2,2,42,16,7,9,9,False,False
0,2,45,18,7,12,9,False,False
0,2,34,18,1,11,9,True,False
0,2,21,17,7,10,9,False,False
0,2,26,19,1,13,9,True,False
0,2,47,15,0,0,9,False,False
2,1,47,19,6,11,9,False,False
2,2,6,15,0,0,9,False,False
0,2,18,15,0,0,9,False,False
0,2,45,19,7,12,9,False,False
3,2,36,18,1,12,9,True,False
0,1,51,18,1,13,9,True,False
1,1,51,16,1,10,9,True,False
3,1,24,18,7,12,9,False,True
0,2,53,19,3,13,9,False,False
0,2,36,17,7,11,9,False,False
2,1,6,18,1,12,9,True,False
0,2,34,18,7,12,9,False,False
0,2,45,16,6,9,9,False,False
0,2,6,18,7,12,9,False,False
2,1,21,17,1,12,9,True,False
0,2,35,18,7,11,9,False,False
0,1,26,19,0,0,9,False,False
0,2,26,16,7,9,9,False,False
0,2,17,18,2,11,9,False,False
0,2,17,16,1,9,9,True,False
2,1,20,17,1,10,9,True,False
0,2,30,16,7,10,9,False,False
1,1,39,18,1,11,9,True,False
0,2,39,16,7,10,9,False,False
2,2,37,17,1,10,9,True,False
0,2,37,17,8,10,9,False,False
0,2,34,16,7,10,9,False,False
0,2,37,16,7,9,9,False,False
0,2,26,16,7,10,9,False,False
0,2,51,18,7,11,9,False,False
0,2,34,18,7,13,9,False,False
1,2,48,17,7,11,9,False,False
1,1,48,16,7,9,9,False,False
4,2,1,19,1,12,9,True,False
0,2,26,19,3,13,9,False,False
0,2,47,18,3,12,9,False,False
0,2,6,16,7,11,9,False,False
0,2,37,15,0,0,9,False,False
0,2,21,16,7,11,9,False,False
0,2,45,18,0,0,9,False,False
1,1,6,18,1,12,9,True,False
0,2,34,19,7,12,9,False,False
0,2,34,17,1,11,9,True,False
1,2,40,19,1,12,9,True,False
1,4,8,17,1,11,9,True,False
