# Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR
0,1,47,14,0,0,1
3,4,47,10,0,0,1
0,4,47,8,0,0,1
4,1,47,17,7,10,1
2,1,47,16,7,10,1
2,1,39,11,0,0,1
3,2,39,8,0,0,1
2,1,39,7,0,0,1
0,2,39,5,0,0,1
1,2,39,4,0,0,1
2,2,39,2,0,0,1
2,1,37,10,0,0,1
2,2,6,13,0,0,1
0,2,6,6,0,0,1
0,2,6,2,0,0,1
2,1,6,15,0,0,1
1,2,42,3,0,0,1
0,2,32,1,0,0,1
0,2,6,6,0,0,1
0,2,12,12,0,0,1
2,2,12,11,0,0,1
0,2,29,6,0,0,1
0,1,19,10,0,0,1
0,2,21,1,0,0,1
0,2,39,0,0,0,1
2,2,47,7,0,0,1
1,4,47,5,0,0,1
2,1,38,13,0,0,1
0,1,38,10,0,0,1
0,2,8,10,0,0,1
0,2,38,5,0,0,1
0,2,38,4,0,0,1
0,2,38,2,0,0,1
0,2,38,1,0,0,1
0,2,17,12,0,0,1
0,2,6,8,0,0,1
0,1,8,16,7,10,1
3,1,8,14,0,0,1
0,2,45,9,0,0,1
2,2,45,8,0,0,1
2,2,45,0,0,0,1
0,2,37,9,0,0,1
0,2,37,1,0,0,1
1,1,45,12,0,0,1
0,2,45,4,0,0,1
0,2,45,3,0,0,1
0,2,12,15,0,0,1
2,2,42,9,0,0,1
1,1,18,5,0,0,1
0,2,45,13,0,0,1
0,2,45,9,0,0,1
0,2,45,5,0,0,1
0,2,34,10,0,0,1
0,2,19,5,0,0,1
0,2,21,9,0,0,1
0,2,21,5,0,0,1
1,2,21,3,0,0,1
0,2,21,1,0,0,1
1,2,0,0,0,0,1
0,2,36,1,0,0,1
0,2,36,15,0,0,1
0,2,29,5,0,0,1
0,2,29,2,0,0,1
0,2,39,6,0,0,1
0,2,39,2,0,0,1
2,1,21,16,7,9,1
2,1,21,15,0,0,1
0,2,21,1,0,0,1
2,1,20,16,7,10,1
0,2,26,11,0,0,1
0,2,47,7,0,0,1
0,2,47,3,0,0,1
0,2,47,1,0,0,1
2,1,47,11,0,0,1
0,2,42,0,0,0,1
2,2,6,7,0,0,1
0,2,37,12,0,0,1
0,2,26,12,0,0,1
0,2,29,14,0,0,1
0,2,19,5,0,0,1
0,2,19,1,0,0,1
2,1,19,14,0,0,1
2,2,19,4,0,0,1
0,2,19,15,0,0,1
0,2,19,11,0,0,1
0,2,18,7,0,0,1
0,2,18,4,0,0,1
0,2,45,14,0,0,1
0,2,45,11,0,0,1
3,2,36,10,0,0,1
1,1,36,14,0,0,1
1,4,42,12,0,0,1
0,1,51,10,0,0,1
1,1,51,8,0,0,1
3,1,0,10,0,0,1
0,2,53,11,0,0,1
0,2,17,2,0,0,1
0,2,36,12,0,0,1
0,2,36,8,0,0,1
0,2,36,5,0,0,1
0,2,36,3,0,0,1
0,1,6,16,7,10,1
2,1,6,10,0,0,1
0,2,34,10,0,0,1
0,2,6,0,0,0,1
0,2,19,5,0,0,1
0,2,17,1,0,0,1
0,2,18,3,0,0,1
0,2,34,3,0,0,1
1,1,39,16,7,9,1
0,2,45,8,0,0,1
0,2,45,1,0,0,1
0,1,6,12,0,0,1
0,2,6,10,0,0,1
0,2,42,1,0,0,1
0,2,29,1,0,0,1
1,1,39,16,7,10,1
0,2,39,0,0,0,1
2,1,21,9,0,0,1
0,2,6,0,0,0,1
0,2,6,0,0,0,1
0,2,6,14,0,0,1
0,2,6,6,0,0,1
0,2,6,4,0,0,1
1,1,8,4,0,0,1
0,2,6,3,0,0,1
0,2,6,1,0,0,1
0,2,6,1,0,0,1
0,2,6,0,0,0,1
0,2,33,2,0,0,1
0,2,33,1,0,0,1
1,1,26,14,0,0,1
0,1,26,11,0,0,1
0,1,18,16,7,9,1
0,2,36,6,0,0,1
0,1,6,2,0,0,1
2,1,39,15,0,0,1
0,2,26,8,0,0,1
3,1,26,16,7,9,1
2,1,19,12,0,0,1
0,2,17,10,0,0,1
0,2,17,8,0,0,1
0,2,12,3,0,0,1
1,2,48,5,0,0,1
2,5,48,3,0,0,1
0,2,48,1,0,0,1
0,2,36,2,0,0,1
2,1,17,9,0,0,1
0,1,17,5,0,0,1
3,1,31,16,7,9,1
0,2,30,8,0,0,1
0,2,39,1,0,0,1
1,1,39,10,0,0,1
0,2,19,6,0,0,1
0,2,27,3,0,0,1
0,2,39,8,0,0,1
1,2,34,16,7,10,1
0,2,34,2,0,0,1
0,2,48,5,0,0,1
0,2,48,2,0,0,1
0,2,27,16,7,9,1
2,2,37,9,0,0,1
0,2,37,9,0,0,1
1,2,37,6,0,0,1
0,2,37,5,0,0,1
0,2,37,0,0,0,1
0,2,34,8,0,0,1
0,2,34,1,0,0,1
0,2,0,0,0,0,1
0,2,0,0,0,0,1
3,1,37,15,0,0,1
0,2,37,2,0,0,1
4,1,8,13,0,0,1
0,2,41,2,0,0,1
0,2,34,4,0,0,1
0,2,34,8,0,0,1
0,2,21,4,0,0,1
2,1,21,14,0,0,1
0,2,42,8,0,0,1
0,2,26,1,0,0,1
0,2,49,4,0,0,1
1,2,0,0,0,0,1
0,2,27,2,0,0,1
0,4,36,14,0,0,1
0,2,36,10,0,0,1
0,2,42,1,0,0,1
0,2,34,10,0,0,1
0,2,34,2,0,0,1
0,2,8,0,0,0,1
0,2,26,4,0,0,1
0,2,48,2,0,0,1
1,2,48,9,0,0,1
1,1,48,8,0,0,1
4,2,0,0,0,0,1
0,2,1,16,7,10,1
1,2,26,14,0,0,1
0,2,12,12,0,0,1
0,2,26,11,0,0,1
0,2,47,10,0,0,1
1,4,12,12,0,0,1
1,1,36,12,0,0,1
0,2,6,8,0,0,1
0,2,0,7,0,0,1
0,2,6,6,0,0,1
0,2,6,4,0,0,1
0,2,0,3,0,0,1
2,4,21,12,0,0,1
0,2,21,8,0,0,1
2,1,12,12,0,0,1
0,2,37,4,0,0,1
0,2,45,16,7,10,1
0,2,45,9,0,0,1
1,1,6,10,0,0,1
2,2,55,13,0,0,1
1,1,34,15,0,0,1
0,2,34,11,0,0,1
0,2,34,9,0,0,1
0,2,34,1,0,0,1
1,2,12,11,0,0,1
1,4,8,9,0,0,1
0,1,8,0,0,0,1
0,1,53,14,0,0,1
0,2,0,8,0,0,1
0,2,0,0,0,0,1
0,2,8,12,0,0,1
0,2,42,10,0,0,1
0,2,42,7,0,0,1
0,2,42,4,0,0,1
0,2,42,1,0,0,1
2,2,42,14,0,0,1
0,2,42,9,0,0,1
1,2,42,5,0,0,1
0,2,42,4,0,0,1
0,2,42,2,0,0,1
0,2,48,8,0,0,1
2,1,28,15,0,0,1
3,1,4,14,0,0,1
0,2,4,2,0,0,1
0,2,31,6,0,0,1
2,1,12,16,7,9,1
0,2,17,13,0,0,1
1,2,34,12,0,0,1
0,1,36,11,0,0,1
3,4,29,16,1,10,1
2,1,29,10,0,0,1
4,4,29,12,0,0,1
0,2,4,2,0,0,1
0,2,17,14,0,0,1
0,2,19,5,0,0,1
0,2,21,6,0,0,1
0,2,21,16,1,9,1
0,2,27,15,0,0,1
2,1,27,14,0,0,1
0,1,27,12,0,0,1
0,2,27,11,0,0,1
0,2,27,5,0,0,1
0,2,27,1,0,0,1
0,1,27,16,1,10,1
0,2,0,0,0,0,1
0,2,0,0,0,0,1
2,1,39,14,0,0,1
3,2,41,15,0,0,1
3,4,41,14,0,0,1
0,2,41,9,0,0,1
0,2,41,13,0,0,1
2,2,8,9,0,0,1
0,2,8,4,0,0,1
0,2,29,9,0,0,1
0,2,42,4,0,0,1
0,2,42,2,0,0,1
2,1,42,14,0,0,1
1,1,42,11,0,0,1
0,1,0,0,0,0,1
1,4,51,14,0,0,1
0,2,37,3,0,0,1
0,2,55,13,0,0,1
0,1,55,9,0,0,1
0,2,55,8,0,0,1
3,1,55,7,0,0,1
0,2,55,6,0,0,1
2,2,55,5,0,0,1
0,2,39,4,0,0,1
3,1,6,16,7,11,1
1,1,6,12,0,0,1
1,2,41,3,0,0,1
0,2,41,1,0,0,1
0,2,41,6,0,0,1
0,2,41,2,0,0,1
2,1,53,15,0,0,1
0,2,41,4,0,0,1
0,2,25,12,0,0,1
3,1,26,12,0,0,1
2,1,19,12,0,0,1
0,2,19,12,0,0,1
1,1,19,10,0,0,1
0,2,27,1,0,0,1
1,1,13,10,0,0,1
0,2,29,6,0,0,1
0,2,51,5,0,0,1
0,2,51,2,0,0,1
0,2,34,1,0,0,1
0,2,55,2,0,0,1
2,1,9,16,1,10,1
1,2,9,10,0,0,1
0,2,27,10,0,0,1
0,2,9,16,1,9,1
3,1,46,16,7,9,1
0,1,1,3,0,0,1
0,1,12,11,0,0,1
2,2,18,9,0,0,1
0,2,18,0,0,0,1
0,2,24,11,0,0,1
0,2,24,8,0,0,1
0,2,39,4,0,0,1
0,2,39,1,0,0,1
1,2,37,6,0,0,1
1,2,37,4,0,0,1
0,2,42,1,0,0,1
0,2,42,3,0,0,1
0,2,47,1,0,0,1
0,2,47,0,0,0,1
0,2,0,0,0,0,1
0,2,28,13,0,0,1
1,2,28,13,0,0,1
1,2,28,7,0,0,1
0,2,41,4,0,0,1
0,2,41,1,0,0,1
2,1,55,13,0,0,1
0,2,34,9,0,0,1
0,2,34,9,0,0,1
0,2,36,13,0,0,1
1,1,36,3,0,0,1
0,1,36,8,0,0,1
0,2,12,4,0,0,1
0,2,41,17,7,10,1
0,2,41,6,0,0,1
0,2,8,7,0,0,1
0,2,8,6,0,0,1
0,2,39,0,0,0,1
4,1,39,15,0,0,1
1,1,48,16,7,8,1
1,1,48,14,0,0,1
0,2,8,2,0,0,1
0,2,48,15,0,0,1
0,1,6,13,0,0,1
2,1,49,8,0,0,1
0,1,34,11,0,0,1
0,2,34,9,0,0,1
0,2,34,6,0,0,1
0,2,34,1,0,0,1
0,2,28,3,0,0,1
0,2,28,0,0,0,1
1,2,28,11,0,0,1
1,1,28,9,0,0,1
0,1,6,8,0,0,1
2,1,42,6,0,0,1
1,2,42,4,0,0,1
2,1,29,11,0,0,1
0,1,29,2,0,0,1
5,4,47,15,0,0,1
0,2,47,1,0,0,1
0,1,39,13,0,0,1
0,2,37,5,0,0,1
0,2,55,0,0,0,1
0,2,53,6,0,0,1
0,2,53,4,0,0,1
0,2,53,2,0,0,1
0,2,53,8,0,0,1
0,2,53,16,1,10,1
0,2,34,1,0,0,1
2,1,33,15,0,0,1
0,2,1,4,0,0,1
3,2,51,12,0,0,1
0,4,26,12,0,0,1
0,1,26,5,0,0,1
0,1,26,2,0,0,1
1,4,26,13,0,0,1
1,1,26,5,0,0,1
0,2,26,6,0,0,1
0,2,26,6,0,0,1
2,5,40,16,7,9,1
2,5,0,0,0,0,1
1,2,40,17,7,9,1
2,1,40,15,0,0,1
5,2,40,11,0,0,1
0,2,40,1,0,0,1
0,2,41,7,0,0,1
0,2,41,1,0,0,1
4,1,40,11,0,0,1
0,2,16,1,0,0,1
0,2,26,12,0,0,1
0,2,26,9,0,0,1
1,1,48,15,0,0,1
0,2,48,3,0,0,1
1,1,48,8,0,0,1
1,1,47,13,0,0,1
1,1,47,10,0,0,1
2,1,37,16,7,10,1
2,1,37,15,0,0,1
0,2,33,1,0,0,1
1,1,25,14,0,0,1
0,2,50,5,0,0,1
0,2,50,4,0,0,1
0,2,50,3,0,0,1
2,1,27,8,0,0,1
1,1,48,13,0,0,1
0,2,48,9,0,0,1
0,2,22,3,0,0,1
2,2,51,3,0,0,1
0,2,51,1,0,0,1
0,2,51,0,0,0,1
0,2,51,4,0,0,1
0,2,51,1,0,0,1
0,2,51,8,0,0,1
1,2,51,5,0,0,1
0,1,25,10,0,0,1
0,2,25,9,0,0,1
1,2,29,12,0,0,1
1,2,29,7,0,0,1
0,2,29,8,0,0,1
0,2,29,1,0,0,1
4,1,0,0,0,0,1
0,2,22,7,0,0,1
0,2,13,5,0,0,1
2,1,37,16,1,8,1
0,1,48,9,0,0,1
0,2,48,8,0,0,1
0,2,48,6,0,0,1
1,1,48,16,7,10,1
0,2,48,4,0,0,1
0,2,27,11,0,0,1
0,2,27,10,0,0,1
0,1,47,6,0,0,1
0,1,25,16,7,10,1
1,4,25,13,0,0,1
0,1,13,10,0,0,1
0,2,13,9,0,0,1
0,2,39,3,0,0,1
0,2,48,1,0,0,1
0,2,13,0,0,0,1
0,2,41,14,0,0,1
0,2,8,1,0,0,1
0,2,8,0,0,0,1
0,2,8,16,7,10,1
3,1,8,17,7,10,1
1,1,8,11,0,0,1
0,2,8,4,0,0,1
0,2,8,1,0,0,1
